Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10uF,
C10,0603,1,100nF,
C11,0603,1,100nF,
C12,0603,1,100nF,
C13,0603,1,22uF,
C14,0603,1,100nF,
C16,0603,1,10nF,
C17,0603,1,10nF,
C18,0603,1,10nF,
C2,0603,1,10uF,
C3,0603,1,20pF,
C4,0603,1,20pF,
C5,0603,1,10uF,
C6,0603,1,100nF,
C7,0603,1,100nF,
C8,0603,1,100nF,
C9,0603,1,100nF,
D1,0603,1,LED,
D2,D_SOD-323,1,1N5819,
D3,0603,1,LED,
D4,0603,1,LED,
F1,0603,1,500mA,
J1,PinHeader_1x07_P2.54mm_Horizontal,1,Conn_01x07,
J10,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
"J11, J3, J4",PinHeader_1x04_P2.54mm_Vertical,3,Conn_01x04,
"J2, J5",JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,2,Conn_01x06,
J6,JST_PH_S4B-PH-SM4-TB_1x04-1MP_P2.00mm_Horizontal,1,Conn_01x04,
J7,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10,
J8,PinSocket_1x04_P2.54mm_Horizontal,1,Conn_01x04,
J9,PinHeader_1x04_P2.54mm_Horizontal,1,Conn_01x04,
R1,0603,1,10K,
R10,0603,1,100R,
R11,0603,1,100R,
R12,0603,1,100R,
R14,0603,1,4.7K,
R15,0603,1,4.7K,
R16,0603,1,4.7K,
R2,0603,1,10K,
R3,0603,1,10K,
R4,0603,1,5.1K,
R5,0603,1,5.1K,
R7,0603,1,1K,
R8,0603,1,1K,
R9,0603,1,1K,
"SW1, SW2",SW_SPST_CK_RS282G05A3,2,SW_3*6*2.5,
U1,SOT94P279X129-5N,1,RT9013-33GB,
U2,LQFP-64_10x10mm_P0.5mm,1,CH32V305RBT6,
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,74HC244,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8M,
