Designator,Mid X,Mid Y,Rotation,Layer
C1,124.6756,-84.3788,0.0,top
C10,117.9638,-103.7142,0.0,top
C11,108.2356,-102.5652,0.0,top
C12,132.174,-104.7302,90.0,top
C13,95.1992,-101.1936,270.0,top
C14,132.842,-90.551,180.0,top
C16,108.522,-113.4364,180.0,top
C17,108.5342,-109.601,180.0,top
C18,124.2682,-111.1758,0.0,top
C2,125.0124,-90.5058,180.0,top
C3,110.1406,-106.432,270.0,top
C4,116.0334,-106.2542,90.0,top
C5,105.537,-100.2668,90.0,top
C6,122.5104,-99.2692,270.0,top
C7,122.3834,-91.6238,90.0,top
C8,107.1626,-100.2922,270.0,top
C9,110.6808,-88.5698,180.0,top
D1,101.2252,-90.8617,90.0,top
D2,83.3882,-82.55,270.0,top
D3,128.0667,-100.7364,0.0,top
D4,101.7392,-85.0392,180.0,top
F1,85.2678,-82.6769,270.0,top
H1,83.2956,-119.4534,0.0,top
H2,152.2956,-119.4534,0.0,top
H3,152.2956,-77.4534,0.0,top
H4,83.2956,-77.4534,0.0,top
J1,140.7668,-99.442,0.0,top
J10,91.5416,-78.9686,180.0,top
J11,82.2452,-87.259,0.0,top
J2,116.5132,-115.2868,0.0,top
J3,99.2956,-76.4534,90.0,top
J4,99.2956,-120.4534,90.0,top
J5,114.6872,-81.794,180.0,top
J6,85.4964,-103.3526,270.0,top
J7,145.2956,-76.4534,270.0,top
J8,87.7678,-111.8304,90.0,top
J9,140.7606,-86.2684,0.0,top
R1,104.9214,-87.8646,0.0,top
R10,113.983,-111.2774,180.0,top
R11,117.0686,-111.252,180.0,top
R12,120.1288,-111.2012,0.0,top
R14,108.522,-115.1382,0.0,top
R15,108.5342,-111.2012,0.0,top
R16,124.269,-112.776,180.0,top
R2,130.4976,-104.7302,270.0,top
R3,124.7456,-94.7734,0.0,top
R4,94.5896,-85.0392,0.0,top
R5,88.4308,-85.071,180.0,top
R7,99.5488,-90.874,90.0,top
R8,131.1787,-100.7364,180.0,top
R9,98.5266,-85.0392,0.0,top
SW1,104.3494,-93.6304,90.0,top
SW2,124.6556,-105.3398,0.0,top
U1,124.847,-87.4578,270.0,top
U2,114.7888,-96.0942,90.0,top
U4,131.8576,-86.2644,180.0,top
Y1,113.0792,-106.3304,0.0,top
