Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
C10,1206,1,10uF,
C11,0603,1,10nF,
C12,0603,1,10nF,
"C13, C14, C15",CP_Elec_6.3x7.7,3,220uF,
C16,0603,1,100nF,
C17,0603,1,100nF,
C2,0603,1,10uf,
C29,1206,1,100uF,
C3,0603,1,470nF,
C30,1206,1,100uF,
C31,0603,1,10uF,
C32,1206,1,100uF,
C33,0603,1,10uF,
C34,0603,1,1nF,
C35,0603,1,100nF,
C36,0603,1,1nF,
C37,0603,1,100nF,
C38,0603,1,1nF,
C39,0603,1,100nF,
C4,0603,1,470nF,
C40,0603,1,100nF,
C41,0603,1,100nF,
C42,0603,1,100nF,
C43,0603,1,100nF,
C44,1206,1,2.2uF,
C45,0603,1,10nF,
C46,1206,1,2.2uF,
C47,0603,1,10nF,
C48,1206,1,2.2uF,
C49,0603,1,10nF,
C5,0603,1,470nF,
C50,1206,1,100uF,
C51,1206,1,100uF,
C52,1206,1,100uF,
C53,1206,1,100uF,
C54,1206,1,100uF,
C55,1206,1,100uF,
C56,1206,1,100uF,
C6,0603,1,470nF,
C7,0603,1,100nF,
C8,0603,1,100nF,
C9,1206,1,10uF,
"CR1, CR2, CR3, CR4, CR5",SMAJ20CA-13-F,5,SMAJ20CA,
D1,0603,1,LED,
"D10, D11, D6, D7, D8, D9",D_SOD-323,6,1N4148WS,
D12,0603,1,LED,
"D13, D14",DO-214AC,2,B340A-13-F,B340A-13-F
D2,0603,1,LED,
D3,0603,1,LED,
D4,0603,1,LED,
D5,0603,1,LED,
J1,AMASS_XT30UPB-M_1x02_P5.0mm_Vertical,1,XT30UPB-M,
J2,PinSocket_1x10_P2.54mm_Vertical,1,Conn_01x10,
"J3, J5",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04,
J4,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"L1, L2",L_Abracon_ASPI-0630LR,2,18uH,
"Q1, Q2, Q3, Q4, Q5, Q6","TRANS_TPHR8504PL,L1Q",6,TPH1R403NL,
R1,0603,1,200K,
R2,0603,1,100K,
R21,0603,1,10K,
R22,0603,1,1K,
R23,0603,1,1K,
R24,0603,1,1K,
R25,0603,1,1K,
R26,0603,1,1K,
R27,0603,1,30K,
R28,0603,1,30K,
R29,0603,1,1K,
R3,0603,1,1K,
R30,0603,1,1K,
R31,0603,1,30K,
R32,0603,1,30K,
R33,0603,1,1K,
R34,0603,1,1K,
R35,0603,1,30K,
R36,0603,1,30K,
R37,0603,1,28K,
R38,0603,1,2K,
R39,0603,1,28K,
R4,0603,1,10K,
R40,0603,1,2K,
R41,0603,1,28K,
R42,0603,1,2K,
R43,0603,1,28K,
R44,0603,1,2K,
R45,0603,1,33R,
R46,0603,1,33R,
R47,2512,1,1mR 3W,
R48,0603,1,33R,
R49,0603,1,33R,
R5,0603,1,10K,
R50,2512,1,1mR 3W,
R51,0603,1,33R,
R52,0603,1,33R,
R53,2512,1,1mR 3W,
R54,0603,1,1K,
R6,0603,1,10K,
R7,0603,1,10k,
R8,0603,1,3.24k,
R9,0603,1,10k,
SW1,3386P,1,10K,
SW3,SW_SPDT_MSK-12D19,1,SW_SPDT,
TH1,0805,1,10K,
U1,MP6530GR-Z,1,MP6530GR-Z,
"U2, U6, U7, U8",SOT-23-5,4,GS8551,
"U3, U4",TI_SO-PowerPAD-8_ThermalVias,2,TPS5430DDA,
U5,SOT94P279X129-5N,1,RT9013-33GB,
