Designator,Mid X,Mid Y,Rotation,Layer
C1,141.8463,-74.282,270.0,bottom
C10,89.7364,-108.966,180.0,top
C11,131.0008,-80.772,180.0,top
C12,94.5896,-99.5182,180.0,top
C13,118.4148,-76.8858,270.0,top
C14,83.8708,-96.3178,270.0,top
C15,86.868,-87.4522,90.0,top
C16,119.4054,-71.2724,0.0,top
C17,81.4578,-82.931,180.0,top
C2,141.3383,-75.933,90.0,top
C29,142.3162,-96.52,90.0,top
C3,142.608,-79.756,180.0,bottom
C30,140.0048,-96.52,90.0,top
C31,110.744,-71.361,270.0,top
C32,103.7463,-96.471,90.0,top
C33,104.6988,-71.2724,90.0,top
C34,110.7694,-88.3721,0.0,bottom
C35,110.985,-79.3175,180.0,bottom
C36,104.3562,-90.3478,0.0,bottom
C37,104.5848,-81.2038,180.0,bottom
C38,96.888,-85.7758,0.0,bottom
C39,96.9648,-76.6958,180.0,bottom
C4,138.684,-81.153,180.0,bottom
C40,98.901856,-106.5022,0.0,bottom
C41,109.728,-107.95,0.0,bottom
C42,102.0704,-106.6546,0.0,bottom
C43,107.4928,-103.9752,90.0,top
C44,137.668,-96.52,90.0,top
C45,131.6482,-95.758,90.0,bottom
C46,128.524,-96.52,90.0,top
C47,122.2756,-95.6818,90.0,bottom
C48,118.9228,-96.52,90.0,top
C49,112.8522,-95.7072,90.0,bottom
C5,135.115,-81.026,180.0,bottom
C50,110.7186,-96.471,90.0,top
C51,139.954,-101.649,270.0,top
C52,142.3162,-101.6254,270.0,top
C53,101.4222,-96.471,90.0,top
C54,106.0704,-96.471,90.0,top
C55,108.3945,-96.471,90.0,top
C56,143.8783,-73.455,90.0,bottom
C6,142.875,-77.3052,90.0,bottom
C7,91.4146,-70.7136,180.0,bottom
C8,99.8783,-76.657,270.0,top
C9,124.9934,-90.0176,180.0,top
CR1,145.2372,-96.5992,90.0,top
CR2,98.4885,-96.52,90.0,top
CR3,98.4758,-97.4344,90.0,bottom
CR4,145.415,-97.2566,90.0,bottom
CR5,101.981,-97.4344,90.0,bottom
D1,136.4234,-72.5424,180.0,top
D10,135.0781,-88.208,270.0,bottom
D11,131.572,-88.208,270.0,bottom
D12,149.2866,-77.0128,90.0,top
D13,129.3368,-85.1408,90.0,top
D14,93.3958,-104.1156,90.0,top
D2,144.272,-104.0385,270.0,top
D3,115.3414,-68.9101,90.0,top
D4,81.5406,-87.4522,0.0,top
D5,111.506,-67.31,90.0,top
D6,149.871,-88.208,270.0,bottom
D7,146.05,-88.208,270.0,bottom
D8,142.367,-88.208,270.0,bottom
D9,138.684,-88.208,270.0,bottom
H1,82.502,-66.5,0.0,top
H2,82.502,-108.5,0.0,top
H3,151.502,-66.5,0.0,top
H4,151.502,-108.5,0.0,top
J1,150.114,-94.361,270.0,top
J2,144.502,-65.5,90.0,bottom
J3,98.502,-65.5,270.0,bottom
J4,81.788,-80.1878,180.0,top
J5,98.502,-109.5,270.0,bottom
L1,127.762,-75.819,180.0,top
L2,92.1258,-94.869,180.0,top
Q1,133.731,-100.4736,90.0,top
Q2,133.731,-103.886,270.0,bottom
Q3,124.206,-100.4736,90.0,top
Q4,124.2822,-103.8166,270.0,bottom
Q5,114.935,-100.4736,90.0,top
Q6,114.8842,-103.8186,270.0,bottom
R1,140.335,-72.136,270.0,bottom
R2,142.8623,-75.946,90.0,top
R21,146.05,-104.0385,270.0,top
R22,117.119402,-68.9101,90.0,top
R23,81.540701,-85.725,0.0,top
R24,109.982,-67.31,90.0,top
R25,109.9442,-85.9977,90.0,bottom
R26,111.5698,-85.9977,90.0,bottom
R27,108.331,-82.741,270.0,bottom
R28,113.4164,-84.1679,90.0,bottom
R29,103.505,-87.884,90.0,bottom
R3,134.112,-73.3166,90.0,top
R30,105.2068,-87.884,90.0,bottom
R31,101.9048,-84.6582,270.0,bottom
R32,106.9594,-86.0806,90.0,bottom
R33,95.885,-83.439,90.0,bottom
R34,97.8154,-83.4258,90.0,bottom
R35,94.2848,-79.248,270.0,bottom
R36,99.3902,-81.724,90.0,bottom
R37,98.889656,-103.124,180.0,bottom
R38,98.864256,-104.8512,0.0,bottom
R39,109.7026,-109.6772,180.0,bottom
R4,91.44,-72.39,0.0,bottom
R40,109.7412,-106.2736,0.0,bottom
R41,102.045,-103.124,180.0,bottom
R42,102.0582,-104.9528,0.0,bottom
R43,110.9218,-103.9622,270.0,top
R44,109.22,-103.949,90.0,top
R45,151.776,-88.328,270.0,bottom
R46,147.955,-88.328,270.0,bottom
R47,128.9558,-98.0948,90.0,bottom
R48,144.2203,-88.328,270.0,bottom
R49,140.589,-88.328,270.0,bottom
R5,105.6441,-74.7522,90.0,top
R50,119.5832,-98.0186,90.0,bottom
R51,136.906,-88.328,270.0,bottom
R52,133.35,-88.328,270.0,bottom
R53,110.1598,-98.046,90.0,bottom
R54,149.3266,-70.9676,270.0,top
R6,107.2189,-74.7644,270.0,top
R7,126.7206,-80.2894,180.0,top
R8,123.635,-80.2894,180.0,top
R9,89.1418,-99.2378,180.0,top
SW1,93.4834,-82.3074,180.0,top
SW3,151.4602,-74.001,270.0,top
TH1,110.2868,-103.7317,90.0,bottom
U1,138.303,-76.708,180.0,bottom
U2,102.7485,-74.93,180.0,top
U3,124.89,-84.9376,270.0,top
U4,88.9,-103.9114,270.0,top
U5,107.6702,-71.1324,180.0,top
U6,110.871,-82.1745,90.0,bottom
U7,104.4194,-84.1248,90.0,bottom
U8,96.8248,-79.756,90.0,bottom
